Food ;Mines;Oil  ;Clths;Durbl;Chems;Cnsum;Cnstr;Steel;FabPr;Machn;Cars ;Trans;Utils;Rtail;Finan;Other
0,294372975;0,438383587;0,729668556;0,501838848;0,17377147;0,462592714;0,190397045;0,535539967;1,474812485;0,896548812;0,248700188;0,571195453;0,954904326;0,68875824;0,257073084;0,586864803;0,600120987
0,296088026;0,39197036;0,733438772;0,462478645;0,168704829;0,445688223;0,18560777;0,453620524;1,524481221;0,916164642;0,233210917;0,556384026;0,770437389;0,715048896;0,256912006;0,59374739;0,593039566
0,284484921;0,434293594;0,720196741;0,451532411;0,159354697;0,434982278;0,172280038;0,433162282;1,426153186;0,86505317;0,229995026;0,560082341;0,74623484;0,735468101;0,23299141;0,587586786;0,584576221
0,286543857;0,45050898;0,763879712;0,451438862;0,151471994;0,423833545;0,17191794;0,437723635;1,43003816;0,891025164;0,224755523;0,527300033;0,746932029;0,743643784;0,232263821;0,570663269;0,591077426
0,278618216;0,377170865;0,770136526;0,447351959;0,148483196;0,412172088;0,168803397;0,390684977;1,448897397;NaN;0,221385736;0,551148527;0,757459696;0,760814137;0,234909403;0,556518278;0,591504573
0,275411159;0,376063187;0,750626858;0,421844659;0,142277365;0,405515277;0,162163729;0,368754354;1,505674262;NaN;0,211195715;0,579098581;0,739810544;0,761404373;0,223294046;0,553778245;0,577980975
0,302487082;0,40447627;0,798624703;0,49206799;0,161295413;0,462551754;0,185079;0,402610121;1,651392125;NaN;0,236930632;0,612110626;0,897352385;0,883623677;0,254115118;0,690080712;0,627466336
0,299731753;0,428366128;0,796103773;0,58805951;0,158567001;0,458016627;0,178683545;0,412794331;1,722060261;NaN;0,234241615;0,61817753;0,918612073;0,88565011;0,250923376;0,690372401;0,629710093
0,294408974;0,410638842;0,711863143;0,55829897;0,15782078;0,422638076;0,178870702;0,449032789;1,58677834;NaN;0,22620765;0,592232276;0,958370977;0,835346726;0,252683893;0,638500245;0,602953322
0,297144325;0,422571149;0,716261576;NaN;0,154078769;0,436553291;0,179780151;0,422088666;1,674821023;NaN;0,22752931;0,60819253;1,016111335;0,838482497;0,248590213;0,63377147;0,595062179
0,284907598;0,423272983;0,693000193;NaN;0,150228477;0,433275499;0,174990325;0,400424271;1,733350509;NaN;0,235594705;0,629135682;0,984387459;0,77571891;0,242130603;0,631697453;0,58267928
0,270760567;0,424253284;0,657307245;NaN;0,152913772;0,411094838;0,17356018;0,407366465;1,485255142;NaN;0,231411789;0,585214405;0,926989179;0,736713755;0,228927334;0,600888694;0,555276248
0,258481603;0,379165108;0,641540561;NaN;0,145440147;0,405831389;0,163657229;0,385349682;1,591261273;NaN;0,224960249;0,585284337;0,928212245;0,721374355;0,221324021;0,587625177;0,523249366
0,266390207;NaN;0,615570515;NaN;0,15069244;0,413372665;0,161419704;0,411901551;1,584027811;NaN;0,205214315;0,607748104;0,960867512;0,757599392;0,223167891;0,626104727;0,536037154
0,274564033;0,454045968;0,667648326;NaN;0,148771762;0,391883016;0,16137478;0,439305188;1,597863254;NaN;0,203807236;0,648856595;1,010219266;0,768185967;0,230331808;0,658000722;0,571626399
0,275545047;0,45679305;0,639513614;NaN;0,150692886;0,388806656;0,160348896;0,438849088;1,532182818;NaN;0,210648291;0,671771565;1,020442189;0,790223458;0,197719264;0,655424112;0,568257278
0,286179159;0,469143879;0,644765318;NaN;0,15501683;0,403214684;0,168445458;0,460852666;1,52346289;NaN;0,224143055;0,684534843;1,183884972;0,79326797;0,216734797;0,703484215;0,592794206
0,265681985;0,487343978;0,659530523;NaN;0,153127786;0,403748971;0,167119057;NaN;1,590014235;NaN;0,220406127;0,746947736;1,265802789;0,7912867;0,213431054;0,684740177;0,601057893
0,302908098;0,531877708;0,67894274;NaN;0,169050972;0,440655859;0,19098118;NaN;1,65971984;NaN;0,243475783;0,826631777;1,489770154;0,922682404;0,258992342;0,770306729;0,667249969
0,313913094;0,486776315;0,683729255;NaN;0,169270097;0,410257891;0,180392291;0,43143508;1,588776519;NaN;0,23694321;0,794152458;1,411534762;0,94244205;0,239169095;0,693484854;0,643738573
0,320232675;0,487338438;0,711948869;NaN;0,175718623;0,418263075;0,192556522;NaN;1,535652685;NaN;0,244318299;0,81310466;1,356998226;0,982493954;0,298142578;0,684823193;0,663937241
0,310902532;0,415222623;0,65933643;NaN;0,178384368;0,401166386;0,194631355;0,415225463;1,42511698;NaN;0,269580003;0,769605014;1,189440552;0,911163537;0,280476588;0,644636668;0,624662819
0,295935914;0,384290207;0,628764638;NaN;0,177923553;0,391531166;0,193376195;0,404058219;1,329653643;NaN;0,262301533;0,837481179;1,077606231;0,949675298;0,274222041;0,663435558;0,648123379
0,356214755;0,406665568;0,665409706;NaN;0,198442847;0,458464996;0,210139964;NaN;1,455561775;NaN;0,268975473;1,121973754;1,357989622;1,099603866;0,295531868;0,778713838;0,717000828
0,350800469;0,38918989;0,608029965;NaN;0,199693523;0,448546848;0,221740476;0,355197698;1,355822726;NaN;0,282934661;1,169825126;1,404689912;1,074494905;0,290100365;0,688602534;0,700185656
0,356270681;0,389271017;0,670580172;NaN;0,209520982;0,445973294;0,226700272;0,524490891;1,349664842;NaN;0,304316264;1,04597189;1,396793631;1,027869414;0,30105466;0,722632152;0,703207458
