;Food ;Mines;Oil  ;Clths;Durbl;Chems;Cnsum;Cnstr;Steel;FabPr;Machn;Cars ;Trans;Utils;Rtail;Finan;Other
197201;-0,007623379;0,055671264;-0,008477412;0,087357426;0,026428603;0,03656192;0,024599103;-0,044069136;0,025562376;-0,019712824;0,069560914;0,025215481;0,054580903;-0,019180562;-0,021032729;-0,002622268;0,004466658
197202;0,040419025;0,032927728;0,024495694;0,023436839;0,057579835;0,026919825;0,074169768;0,048662939;0,05768186;0,062118999;0,014551561;-0,01508911;0,027455084;-0,028933018;0,065526985;-0,009116245;0,017050709
197203;-0,007080992;-0,03651226;-0,058824589;-0,002492775;0,05109193;0,024582034;-7,16E-05;-0,012107302;-0,001352536;-0,030293589;0,020445466;0,051002333;-0,002828419;-0,009887338;0,02645963;0,048927688;-0,010949253
197204;0,026267079;0,01950428;-0,009328606;0,007199215;0,017228867;0,025392689;0,016353466;0,021316037;-0,02957696;0,010620858;0,018697669;-0,032301035;-0,006253403;-0,030483426;-0,006359016;0,034818264;-0,001095105
197205;0,010686808;0,030031721;0,031016642;-0,091654738;0,040563565;0,019241744;0,040888697;-0,030051966;-0,018195525;NaN;0,038132439;-0,041187176;0,025157926;0,001201351;0,034253481;-0,022363482;0,024313968
197206;-0,002167478;0,020327024;-0,010566346;-0,019428702;-0,003229841;-0,049328419;0,008489138;-0,001646263;-0,055187607;NaN;-0,014409333;-0,026438926;-0,121127823;-0,023090673;-0,034709424;-0,044261995;-0,03263681
197207;0,006903119;-0,058869713;-0,007773297;-0,052504248;-0,000326026;-0,009456912;0,033876361;-0,026025369;-0,041206063;NaN;0,01142764;-0,015997287;-0,029186341;-0,001415358;-0,005614858;-0,004722303;-0,004483188
197208;0,017091224;0,043616386;0,120755942;0,052360493;-0,021135108;0,085444654;-0,00163771;0,009435467;0,092232409;NaN;0,027226163;0,049488948;-0,002831066;0,063931726;-0,006975258;0,065552581;0,047324877
197209;-0,009522365;-0,029192456;-0,007128564;-0,064962911;0,022551068;-0,055440408;-0,007985768;-0,043230472;-0,043223293;NaN;-0,008817945;-0,014754749;-0,059186619;-0,006378511;0,013394249;-0,003148896;0,011788945
197210;0,012510043;-0,00565811;0,03478938;NaN;0,004548885;0,005020745;0,024389012;0,009884632;-0,028689392;NaN;-0,037631571;-0,035366541;0,028227022;0,074149063;0,023521392;0,01835239;0,020024692
197211;0,051479019;-0,00270407;0,060042303;NaN;-0,003132705;0,055702281;0,007037809;0,095259061;0,142473333;NaN;0,013565216;0,100732058;0,064110431;0,051494293;0,039604837;0,040317562;0,051564952
197212;0,021154463;0,074236775;0,01202646;NaN;0,045410701;0,003686828;0,034041082;-0,003932776;-0,061789472;NaN;0,016396751;0,004971084;-0,033874464;-0,026910038;0,020208099;-0,012344413;0,015399677
197301;-0,0342133;-0,071563819;0,043699578;NaN;-0,055638461;-0,022526664;-0,01133176;-0,066707338;0,001533344;NaN;0,034774558;-0,056293799;-0,116451202;-0,048837175;-0,027530166;-0,07511707;-0,027703564
197302;-0,031673171;NaN;-0,073606402;NaN;-0,007200715;0,005414619;-0,001439798;-0,062408636;-0,000610531;NaN;-0,020473943;-0,059166331;-0,059300328;-0,019494047;-0,055461883;-0,064217279;-0,054943747
197303;-0,005523407;-0,009489192;0,03979948;NaN;-0,017191198;0,004275869;0,002267453;-0,00356069;0,03826723;NaN;-0,007718505;-0,029608491;0,011368995;-0,031427895;-0,057745342;-0,001754873;0,000670624
197304;-0,041330735;-0,031526313;-0,011871994;NaN;-0,068415786;-0,039069097;-0,052036583;-0,050316674;0,003432123;NaN;-0,066686862;-0,024451492;-0,091830885;-0,005523296;-0,084530171;-0,070917997;-0,034138825
197305;0,002563931;-0,037598058;-0,020522147;NaN;0,008201651;-0,00275587;0,00503519;0,000388286;-0,037676174;NaN;-0,020595773;-0,059240636;-0,090713428;0,002485738;0,012735447;-0,020631925;-0,013830196
197306;-0,028384625;0,0052759;0,019011773;NaN;0,015587411;-0,020809742;0,005490769;NaN;-0,02282209;NaN;0,001714226;-0,025488389;-0,086042782;-0,031579952;-0,060827219;0,050543308;-0,018600477
